,chance_of_playing_next_round,chance_of_playing_this_round,code_x,element_type,ep_next,ep_this,event_points,first_name,form,id,news,news_added,now_cost,points_per_game,second_name,selected_by_percent,team_code,total_points,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,influence,creativity,threat,ict_index,influence_rank_type,creativity_rank_type,threat_rank_type,ict_index_rank,ict_index_rank_type,penalties_order,penalties_text,position_id,position,code_y,Club,fullname
431,,,18499,1,-0.5,0.0,0,Michael,0.0,313,,,40,0.0,McGovern,0.7,45,0,0.0,0.0,McGovern,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30,9,5,416,30,,,1,Goalkeeper,45,Norwich City,Michael McGovern
432,,,20480,1,3.5,4.0,9,Tim,4.0,314,,,45,2.3,Krul,1.3,45,16,0.9,3.6,Krul,630,0,0,1,16,1,0,0,0,0,21,2,185.6,0.0,0.0,18.6,3,42,38,161,4,,,1,Goalkeeper,45,Norwich City,Tim Krul
433,,,57127,4,2.8,3.3,2,Teemu,3.3,315,,,59,3.3,Pukki,5.0,45,23,0.6,3.9,Pukki,573,2,0,1,14,0,0,0,0,0,0,1,85.0,54.4,206.0,34.6,17,23,15,57,16,1.0,,4,Forward,45,Norwich City,Teemu Pukki
434,0.0,0.0,71738,3,0.0,0.0,0,Marco,0.0,316,Left the club by mutual consent on 30/6. - Unknown return date,2021-07-01T13:30:07.826050Z,50,0.0,Stiepermann,0.0,45,0,0.0,0.0,Stiepermann,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,227,230,225,574,228,,,3,Midfielder,45,Norwich City,Marco Stiepermann
435,,,76306,3,-0.2,0.3,1,Lukas,0.3,317,,,45,1.4,Rupp,0.1,45,7,0.1,1.6,Rupp,241,0,0,0,7,0,0,0,0,0,0,0,22.2,20.3,32.0,7.4,130,137,106,296,132,,,3,Midfielder,45,Norwich City,Lukas Rupp
436,100.0,100.0,78607,3,1.8,2.3,3,Kenny,2.3,318,,2021-09-08T10:00:09.780320Z,49,2.0,McLean,0.0,45,12,0.5,2.4,McLean,495,0,0,1,11,0,0,0,0,0,0,0,76.6,28.1,90.0,19.6,65,125,46,150,73,,,3,Midfielder,45,Norwich City,Kenny McLean
437,,,83428,2,2.5,3.0,7,Grant,3.0,319,,,44,1.7,Hanley,0.1,45,12,0.7,2.7,Hanley,630,0,0,1,16,0,0,0,1,0,0,1,179.6,32.2,56.0,26.8,3,53,27,96,21,,,2,Defender,45,Norwich City,Grant Hanley
438,0.0,0.0,89470,3,0.0,0.0,0,Onel,0.0,320,Joined Middlesbrough on a season-long loan - Expected back 01 Jul,2021-08-30T08:30:14.673710Z,49,0.0,Hernández,0.0,45,0,0.0,0.0,Hernández,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,223,226,221,563,224,,,3,Midfielder,45,Norwich City,Onel Hernández
439,0.0,0.0,113564,2,0.0,0.0,0,Sam,0.0,321,Hamstring injury - Unknown return date,2021-08-09T19:30:13.347594Z,44,0.0,Byram,0.0,45,0,0.0,0.0,Byram,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,177,179,169,472,178,,,2,Defender,45,Norwich City,Sam Byram
440,0.0,0.0,167522,4,0.0,0.0,0,Jordan,0.0,322,Joined West Bromwich Albion on a season-long loan - Expected back 01 Jul,2021-08-25T22:00:08.591924Z,54,0.0,Hugill,0.0,45,0,0.0,0.0,Hugill,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,77,75,590,77,,,4,Forward,45,Norwich City,Jordan Hugill
441,,,171270,3,-0.5,0.0,0,Kieran,0.0,323,,,53,2.0,Dowell,0.0,45,4,0.0,0.8,Dowell,65,0,0,1,0,0,0,0,0,0,0,0,11.2,24.6,14.0,5.0,146,133,139,323,146,,,3,Midfielder,45,Norwich City,Kieran Dowell
442,50.0,0.0,192303,2,-0.2,0.0,0,Christoph,0.0,324,Ankle injury - 50% chance of playing,2021-09-10T13:00:15.879133Z,44,0.0,Zimmermann,0.1,45,0,0.0,0.0,Zimmermann,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,180,181,172,477,181,,,2,Defender,45,Norwich City,Christoph Zimmermann
443,75.0,0.0,193111,3,-0.2,0.0,0,Todd,0.3,325,Personal Reasons - 75% chance of playing,2021-09-24T12:30:11.866377Z,53,1.2,Cantwell,0.3,45,6,0.1,1.1,Cantwell,313,0,0,0,12,0,0,0,2,0,0,0,30.6,41.7,8.0,8.0,121,100,159,283,129,,,3,Midfielder,45,Norwich City,Todd Cantwell
444,,,232980,2,1.8,2.3,5,Max,2.3,326,,,44,1.7,Aarons,1.4,45,12,0.5,2.7,Aarons,630,0,0,1,16,0,0,0,2,0,0,2,126.6,108.8,58.0,29.3,30,16,24,77,13,,,2,Defender,45,Norwich City,Max Aarons
445,,,235546,2,-0.5,0.0,0,Jacob,0.0,327,,,44,0.0,Sørensen,0.1,45,0,0.0,0.0,Sørensen,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,185,186,178,485,186,,,2,Defender,45,Norwich City,Jacob Sørensen
446,100.0,0.0,428626,3,-0.5,0.0,0,Przemyslaw,0.0,328,,2021-08-13T13:30:15.129315Z,49,0.0,Placheta,0.0,45,0,0.0,0.0,Placheta,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,225,228,223,570,226,,,3,Midfielder,45,Norwich City,Przemyslaw Placheta
447,,,432735,4,0.2,0.7,1,Adam,0.7,329,,,49,1.0,Idah,0.4,45,5,0.1,1.0,Idah,37,0,0,0,0,0,0,0,0,0,0,0,11.4,15.4,39.0,6.4,40,39,41,306,41,2.0,,4,Forward,45,Norwich City,Adam Idah
448,0.0,0.0,439485,3,0.0,0.0,0,Josh,0.0,330,Season long loan to Milton Keynes Dons,2021-07-02T08:46:00.301629Z,50,0.0,Martin,0.0,45,0,0.0,0.0,Martin,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,231,234,229,582,232,,,3,Midfielder,45,Norwich City,Josh Martin
449,100.0,100.0,466404,2,-0.5,0.0,0,Andrew,0.0,331,,2021-08-13T13:30:15.204866Z,39,2.0,Omobamidele,4.2,45,2,0.0,0.5,Omobamidele,90,0,0,0,1,0,0,0,0,0,0,0,27.2,0.8,0.0,2.8,116,119,124,343,121,,,2,Defender,45,Norwich City,Andrew Omobamidele
450,,,107265,1,-0.5,0.0,0,Angus,0.0,448,,,40,0.0,Gunn,1.6,45,0,0.0,0.0,Gunn,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36,17,13,424,36,,,1,Goalkeeper,45,Norwich City,Angus Gunn
451,100.0,100.0,212723,3,0.8,1.3,1,Milot,1.3,449,,2021-09-24T17:00:14.693971Z,53,1.6,Rashica,0.1,45,11,0.2,2.1,Rashica,395,0,0,0,14,0,0,0,0,0,0,0,38.0,73.6,60.0,17.2,112,65,65,179,87,,,3,Midfielder,45,Norwich City,Milot Rashica
452,,,83312,2,1.8,2.3,6,Ben,2.3,456,,,44,1.8,Gibson,0.1,45,9,0.5,2.0,Gibson,450,0,0,1,12,0,0,0,0,0,0,0,113.2,3.5,68.0,18.6,39,107,20,160,47,,,2,Defender,45,Norwich City,Ben Gibson
453,100.0,100.0,189627,2,1.8,2.3,6,Dimitris,2.3,457,,2021-09-10T13:00:16.083600Z,44,2.0,Giannoulis,0.1,45,8,0.5,1.8,Giannoulis,229,0,0,1,5,0,0,0,0,0,0,0,52.8,14.8,22.0,9.0,96,82,67,267,90,,,2,Defender,45,Norwich City,Dimitris Giannoulis
454,,,212325,3,0.8,1.3,3,Pierre,1.3,471,,,50,2.3,Lees-Melou,0.1,45,14,0.3,2.8,Lees-Melou,511,0,1,1,12,0,0,0,2,0,0,0,90.6,92.2,36.0,21.9,53,53,97,130,63,,,3,Midfielder,45,Norwich City,Pierre Lees-Melou
455,100.0,100.0,220686,2,-0.5,0.0,0,Bali,0.0,515,,2021-08-27T13:00:10.550100Z,40,0.0,Mumba,0.3,45,0,0.0,0.0,Mumba,45,0,0,0,3,0,0,0,0,0,0,0,9.6,3.3,0.0,1.3,131,108,134,374,132,,,2,Defender,45,Norwich City,Bali Mumba
456,100.0,100.0,215476,4,1.5,2.0,2,Joshua,2.0,516,,2021-09-24T17:00:14.810953Z,54,1.5,Sargent,0.1,45,9,0.4,1.7,Sargent,291,0,0,1,6,0,0,0,0,0,0,0,16.2,47.5,64.0,12.9,38,25,36,229,35,,,4,Forward,45,Norwich City,Joshua Sargent
457,100.0,100.0,439509,3,0.2,0.7,0,Christos,0.7,528,,2021-08-27T13:00:10.576425Z,50,1.3,Tzolis,0.1,45,4,0.1,0.8,Tzolis,109,0,0,0,3,0,0,0,0,0,0,0,15.0,47.1,14.0,7.6,137,91,138,290,130,3.0,,3,Midfielder,45,Norwich City,Christos Tzolis
458,,,438277,2,2.2,2.7,6,Ozan,2.7,580,,,45,2.7,Kabak,0.1,45,8,0.6,1.8,Kabak,248,0,0,1,4,0,0,0,1,0,0,0,49.0,11.6,0.0,6.1,100,94,193,309,106,,,2,Defender,45,Norwich City,Ozan Kabak
459,75.0,,179276,3,1.9,3.0,2,Mathias,3.0,581,Abdominal injury - 75% chance of playing,2021-10-04T11:30:09.942342Z,45,3.0,Normann,0.1,45,9,0.7,2.0,Normann,227,0,1,1,3,0,0,0,1,0,0,0,84.2,62.9,49.0,19.6,60,77,81,149,72,,,3,Midfielder,45,Norwich City,Mathias Normann
460,100.0,75.0,20467,3,0.3,-0.5,1,Theo,0.3,332,,2021-09-10T10:30:14.581819Z,58,1.3,Walcott,0.1,20,4,0.1,0.7,Walcott,169,0,0,0,3,0,0,0,0,0,0,0,5.8,13.6,22.0,3.9,162,151,126,338,154,,,3,Midfielder,20,Southampton,Theo Walcott
461,,,40383,1,0.0,-1.0,0,Fraser,0.0,333,,,44,0.0,Forster,0.8,20,0,0.0,0.0,Forster,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,31,27,463,50,,,1,Goalkeeper,20,Southampton,Fraser Forster
462,,,58376,1,3.7,2.7,3,Alex,3.7,334,,,45,3.3,McCarthy,2.1,20,23,0.8,5.1,McCarthy,630,0,0,2,10,0,0,0,0,0,19,0,162.4,0.0,0.0,16.3,7,45,41,187,7,,,1,Goalkeeper,20,Southampton,Alex McCarthy
463,,,78056,3,2.0,1.0,1,Oriol,2.0,335,,,45,1.7,Romeu Vidal,0.6,20,12,0.4,2.7,Romeu,578,0,0,1,8,0,0,0,2,0,0,0,102.0,79.9,33.0,21.6,41,62,104,132,64,,,3,Midfielder,20,Southampton,Oriol Vidal
464,,,83283,3,2.3,1.3,2,Nathan,2.3,336,,,59,2.0,Redmond,0.1,20,12,0.4,2.0,Redmond,368,0,0,2,4,0,0,0,0,0,0,0,45.2,88.1,60.0,19.4,103,54,67,154,76,,,3,Midfielder,20,Southampton,Nathan Redmond
465,0.0,0.0,88900,2,0.0,0.0,0,Jack,0.3,338,Knee injury - Expected back 01 Dec,2021-09-18T22:30:08.647334Z,44,1.8,Stephens,0.1,20,9,0.1,2.0,Stephens,396,0,0,1,6,0,0,0,2,0,0,0,90.6,25.8,4.0,12.2,58,62,102,236,76,,,2,Defender,20,Southampton,Jack Stephens
466,100.0,75.0,91047,3,0.0,-0.8,0,Stuart,0.0,339,,2021-08-26T10:30:10.405707Z,58,0.0,Armstrong,0.1,20,0,0.0,0.0,S.Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,244,244,243,602,244,,,3,Midfielder,20,Southampton,Stuart Armstrong
467,0.0,100.0,101178,3,0.0,2.0,4,James,3.0,341,Suspended until 30 Oct,2021-10-02T16:00:12.930947Z,64,3.4,Ward-Prowse,2.7,20,24,0.5,3.8,Ward-Prowse,616,2,0,2,10,0,0,0,1,1,0,2,152.6,157.9,79.0,39.0,19,20,56,45,29,1.0,,3,Midfielder,20,Southampton,James Ward-Prowse
468,,,158534,2,2.7,1.7,1,Kyle,2.7,342,,,48,1.8,Walker-Peters,0.5,20,9,0.6,1.9,Walker-Peters,354,0,0,1,6,0,0,0,2,0,0,0,60.4,71.4,51.0,18.2,88,26,32,169,50,,,2,Defender,20,Southampton,Kyle Walker-Peters
469,,,171771,2,4.0,3.0,1,Jan,4.0,343,,,44,3.2,Bednarek,0.7,20,13,0.9,3.0,Bednarek,315,0,0,1,5,0,0,0,0,0,0,3,80.6,12.5,4.0,9.8,69,89,104,260,85,,,2,Defender,20,Southampton,Jan Bednarek
470,0.0,0.0,200088,4,0.0,0.0,0,Daniel,0.0,344,Joined Lincoln City on a season-long loan - Expected back 01 Jul,2021-07-14T19:01:37.238557Z,45,0.0,N'Lundulu,0.0,20,0,0.0,0.0,Nlundulu,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,60,55,509,61,,,4,Forward,20,Southampton,Daniel N'Lundulu
471,75.0,,200439,4,1.0,0.3,0,Che,1.3,345,Muscle injury - 75% chance of playing,2021-10-11T10:30:11.352465Z,68,3.2,Adams,1.0,20,16,0.2,2.4,Adams,380,0,2,1,6,0,0,0,0,0,0,0,45.2,90.0,99.0,23.5,33,11,28,116,27,,,4,Forward,20,Southampton,Che Adams
472,,,203389,3,0.7,-0.3,2,Nathan,0.7,346,,,48,1.5,Tella,0.1,20,3,0.1,0.6,Tella,82,0,0,0,2,0,0,0,0,0,0,0,3.6,5.5,10.0,2.0,169,158,148,362,167,,,3,Midfielder,20,Southampton,Nathan Tella
473,75.0,75.0,214466,3,0.0,-0.8,0,William,0.0,347,Lack of match fitness - 75% chance of playing,2021-06-22T11:30:10.599194Z,45,0.0,Smallbone,0.0,20,0,0.0,0.0,Smallbone,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,193,197,188,513,195,,,3,Midfielder,20,Southampton,William Smallbone
474,0.0,0.0,220598,4,0.0,0.0,0,Michael,0.0,348,Transferred to Swansea City - Unknown return date,2021-08-31T22:30:15.617506Z,45,0.0,Obafemi,4.5,20,0,0.0,0.0,Obafemi,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,63,58,521,64,,,4,Forward,20,Southampton,Michael Obafemi
475,,,240143,3,0.3,-0.7,1,Ibrahima,0.3,349,,,45,1.0,Diallo,0.1,20,5,0.1,1.1,Diallo,114,0,0,0,4,0,0,0,0,0,0,0,8.2,15.6,27.0,5.0,153,144,114,322,145,,,3,Midfielder,20,Southampton,Ibrahima Diallo
476,,,431131,3,0.3,-0.7,0,Moussa,0.3,350,,,54,1.2,Djenepo,0.1,20,7,0.1,1.3,Djenepo,349,0,0,1,7,0,0,0,3,0,0,0,34.2,45.8,105.0,18.5,118,97,41,163,80,,,3,Midfielder,20,Southampton,Moussa Djenepo
477,,,450527,2,1.0,0.0,0,Mohammed,1.0,351,,,45,2.1,Salisu,0.2,20,15,0.2,3.3,Salisu,593,0,0,1,10,0,0,0,2,0,0,3,156.6,38.4,41.0,23.6,10,43,44,115,33,,,2,Defender,20,Southampton,Mohammed Salisu
478,,,244560,2,0.3,-0.7,0,Romain,0.3,460,,,49,2.5,Perraud,0.1,20,10,0.1,2.0,Perraud,254,0,0,1,4,0,0,0,0,0,0,0,28.0,27.7,2.0,5.7,115,59,115,316,108,,,2,Defender,20,Southampton,Romain Perraud
479,,,441191,2,3.7,2.7,4,Tino,3.7,491,,,42,3.0,Livramento,13.3,20,21,0.9,5.0,Livramento,625,0,1,2,10,0,0,0,1,0,0,0,103.4,90.2,32.0,22.6,47,20,54,124,35,,,2,Defender,20,Southampton,Tino Livramento
480,,,96787,3,2.0,1.0,1,Mohamed,2.0,517,,,55,3.4,Elyounoussi,0.2,20,17,0.4,3.1,Elyounoussi,363,1,0,2,4,0,0,0,0,0,0,1,80.0,49.8,216.0,34.6,61,89,11,56,34,,,3,Midfielder,20,Southampton,Mohamed Elyounoussi
481,100.0,0.0,440323,4,0.7,0.0,0,Armando,0.7,518,,2021-09-26T22:30:11.896237Z,50,1.0,Broja,0.5,20,4,0.1,0.8,Broja,83,0,0,0,1,0,0,0,0,0,0,0,2.4,2.4,47.0,5.1,48,47,39,321,43,,,4,Forward,20,Southampton,Armando Broja
482,100.0,100.0,20452,4,0.3,-0.7,0,Shane,0.3,519,,2021-09-16T14:00:09.427478Z,54,1.0,Long,0.1,20,1,0.1,0.2,Long,16,0,0,0,0,0,0,0,0,0,0,0,6.0,0.1,18.0,2.4,42,55,45,354,46,,,4,Forward,20,Southampton,Shane Long
483,,,155511,4,2.0,1.0,2,Adam,2.0,525,,,60,3.0,Armstrong,2.6,20,21,0.3,3.5,A.Armstrong,613,1,1,2,10,0,0,0,0,0,0,0,70.6,83.5,247.0,40.1,20,14,7,43,12,,,4,Forward,20,Southampton,Adam Armstrong
484,,,213482,2,0.0,-1.0,0,Yan,0.0,546,,,40,0.0,Valery,0.5,20,0,0.0,0.0,Valery,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,150,152,132,431,152,,,2,Defender,20,Southampton,Yan Valery
485,,,212721,2,0.0,-1.0,0,Lyanco Evangelista,0.0,567,,,45,0.0,Silveira Neves Vojnovic,0.0,20,0,0.0,0.0,Lyanco,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,194,194,188,512,194,,,2,Defender,20,Southampton,Lyanco Vojnovic
486,0.0,0.0,15749,1,0.0,0.0,0,Joe,0.0,352,Transferred to Celtic,2021-08-04T08:23:39.667120Z,45,0.0,Hart,0.0,6,0,0.0,0.0,Hart,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,40,36,488,58,,,1,Goalkeeper,6,Tottenham,Joe Hart
487,,,37915,1,2.8,2.3,2,Hugo,2.3,353,,,55,5.0,Lloris,9.5,6,35,0.4,6.4,Lloris,630,0,0,3,10,0,0,0,0,0,25,6,201.0,20.0,0.0,22.1,2,3,64,128,2,,,1,Goalkeeper,6,Tottenham,Hugo Lloris
488,0.0,0.0,55605,2,0.0,0.0,0,Toby,0.0,355,Transferred to Al-Duhail SC,2021-07-27T14:30:07.238332Z,50,0.0,Alderweireld,0.0,6,0,0.0,0.0,Alderweireld,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,206,206,205,573,206,,,2,Defender,6,Tottenham,Toby Alderweireld
489,0.0,0.0,62974,3,0.0,0.0,0,Erik,0.0,356,Transferred to Sevilla,2021-07-27T08:24:25.288357Z,60,0.0,Lamela,0.0,6,0,0.0,0.0,Lamela,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,247,247,247,605,247,,,3,Midfielder,6,Tottenham,Erik Lamela
490,100.0,100.0,78830,4,2.5,2.0,2,Harry,2.0,357,,2021-08-13T14:30:15.738576Z,121,1.5,Kane,5.0,6,9,0.2,0.7,Kane,468,0,0,1,10,0,0,0,2,0,0,0,50.2,59.7,167.0,27.3,30,22,19,92,23,1.0,,4,Forward,6,Tottenham,Harry Kane
491,0.0,0.0,80226,2,0.0,0.0,0,Serge,0.0,358,Left the club by mutual consent,2021-08-31T22:00:09.650513Z,49,0.0,Aurier,0.2,6,0,0.0,0.0,Aurier,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,201,201,200,561,201,,,2,Defender,6,Tottenham,Serge Aurier
492,100.0,100.0,85971,3,6.8,6.3,10,Heung-Min,6.3,359,,2021-09-07T10:30:11.021005Z,101,7.0,Son,13.3,6,42,0.6,4.2,Son,518,3,2,3,7,0,0,0,0,0,0,6,149.6,155.8,246.0,55.2,20,22,7,19,12,3.0,,3,Midfielder,6,Tottenham,Heung-Min Son
493,,,87835,2,0.5,0.0,0,Matt,0.0,360,,,47,1.0,Doherty,0.3,6,1,0.0,0.2,Doherty,7,0,0,0,0,0,0,0,0,0,0,0,3.0,0.3,0.0,0.3,135,134,196,398,136,,,2,Defender,6,Tottenham,Matt Doherty
494,100.0,100.0,93264,2,2.2,1.7,3,Eric,1.7,361,,2021-09-11T15:00:13.691291Z,46,3.7,Dier,5.8,6,26,0.4,5.7,Dier,551,0,0,3,7,0,0,0,0,0,0,3,138.8,36.1,48.0,22.3,21,47,35,126,37,,,2,Defender,6,Tottenham,Eric Dier
495,100.0,100.0,95715,3,1.8,1.3,2,Lucas,1.3,362,,2021-09-16T20:00:12.562080Z,64,1.8,Rodrigues Moura da Silva,0.6,6,11,0.2,1.7,Lucas Moura,446,0,0,2,7,0,0,0,2,0,0,0,66.6,99.4,100.0,26.7,77,48,43,99,53,,,3,Midfielder,6,Tottenham,Lucas Silva
496,,,108823,3,1.5,1.0,0,Bamidele,1.0,363,,,65,3.2,Alli,1.9,6,19,0.2,2.9,Dele,495,1,0,3,9,0,0,0,1,0,0,1,109.6,16.0,52.0,17.9,35,143,76,174,85,2.0,,3,Midfielder,6,Tottenham,Bamidele Alli
497,25.0,25.0,115556,2,0.1,0.0,0,Ben,0.0,364,Abdominal injury - 25% chance of playing,2021-10-02T00:30:17.331380Z,44,0.0,Davies,0.2,6,0,0.0,0.0,Davies,30,0,0,0,3,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,178,140,170,473,179,,,2,Defender,6,Tottenham,Ben Davies
498,,,132015,3,5.2,4.7,10,Pierre-Emile,4.7,365,,,49,3.4,Højbjerg,2.1,6,24,1.0,4.9,Højbjerg,629,1,0,3,10,0,0,0,1,0,0,3,165.0,74.1,50.0,28.8,14,64,79,79,46,,,3,Midfielder,6,Tottenham,Pierre-Emile Højbjerg
499,,,157668,3,0.5,0.0,0,Harry,0.0,366,,,45,1.0,Winks,1.3,6,2,0.0,0.4,Winks,60,0,0,0,0,0,0,0,0,0,0,0,5.0,0.9,0.0,0.6,164,175,180,386,177,,,3,Midfielder,6,Tottenham,Harry Winks
500,100.0,100.0,173904,2,1.2,0.7,0,Davinson,0.7,367,,2021-09-01T19:00:12.687140Z,45,4.2,Sánchez,1.7,6,21,0.2,4.7,Sánchez,367,0,0,3,4,0,0,0,1,0,0,2,79.2,4.5,17.0,10.1,72,102,72,256,83,,,2,Defender,6,Tottenham,Davinson Sánchez
501,0.0,0.0,184349,2,0.0,0.0,0,Ryan,0.0,368,Knock - Unknown return date,2021-09-08T10:00:09.888510Z,43,0.0,Sessegnon,0.1,6,0,0.0,0.0,Sessegnon,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,170,172,156,458,171,,,2,Defender,6,Tottenham,Ryan Sessegnon
502,0.0,0.0,194252,3,0.0,0.0,0,Steven,0.0,369,Ankle injury - Unknown return date,2021-09-16T20:00:12.580761Z,59,5.0,Bergwijn,0.4,6,15,0.0,2.5,Bergwijn,233,0,2,3,0,0,0,0,0,0,0,0,38.6,49.2,97.0,18.5,110,90,44,165,82,,,3,Midfielder,6,Tottenham,Steven Bergwijn
503,,,199249,2,2.8,2.3,2,Sergio,2.3,370,,,51,4.3,Reguilón,10.6,6,30,0.5,5.9,Reguilón,630,0,1,3,10,0,0,0,0,0,0,4,151.2,112.2,20.0,28.4,11,15,68,83,17,,,2,Defender,6,Tottenham,Sergio Reguilón
504,100.0,100.0,199584,2,0.5,0.0,0,Japhet,0.0,371,,2021-09-11T15:00:13.722750Z,46,2.8,Tanganga,2.0,6,14,0.0,3.0,Tanganga,364,0,0,3,6,0,0,0,1,1,0,0,55.4,36.6,50.0,14.3,95,45,33,212,69,,,2,Defender,6,Tottenham,Japhet Tanganga
505,100.0,100.0,200826,3,1.5,1.0,1,Giovani,1.0,372,,2021-09-01T19:00:12.696075Z,59,1.2,Lo Celso,0.1,6,5,0.2,0.8,Lo Celso,111,0,0,0,2,0,0,0,0,0,0,0,12.6,50.0,34.0,9.5,143,88,103,262,121,,,3,Midfielder,6,Tottenham,Giovani Celso
506,100.0,100.0,209042,3,1.2,0.7,1,Oliver,0.7,373,,2021-09-08T10:00:09.918905Z,45,1.6,Skipp,1.3,6,11,0.2,2.4,Skipp,523,0,0,3,5,0,0,0,4,0,0,0,62.4,17.5,2.0,8.2,82,141,165,280,126,,,3,Midfielder,6,Tottenham,Oliver Skipp
507,100.0,100.0,214225,2,0.5,0.0,0,Joe,0.0,374,,2021-08-20T15:30:14.158380Z,44,1.0,Rodon,0.1,6,1,0.0,0.2,Rodon,78,0,0,0,3,0,0,0,0,0,0,0,18.8,0.2,0.0,1.9,120,137,173,363,126,,,2,Defender,6,Tottenham,Joe Rodon
508,,,231372,3,2.5,2.0,2,Tanguy,2.0,375,,,58,2.0,Ndombele,0.2,6,6,0.3,1.0,Ndombele,205,0,0,0,6,0,0,0,0,0,0,0,23.2,29.8,20.0,7.4,128,119,129,299,134,,,3,Midfielder,6,Tottenham,Tanguy Ndombele
509,,,156683,1,0.5,0.0,0,Pierluigi,0.0,486,,,44,0.0,Gollini,0.2,6,0,0.0,0.0,Gollini,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,36,32,474,54,,,1,Goalkeeper,6,Tottenham,Pierluigi Gollini
510,100.0,100.0,436234,3,1.5,1.0,1,Bryan,1.0,487,,2021-08-13T14:30:15.963382Z,58,1.0,Gil Salvatierra,0.1,6,4,0.2,0.7,Bryan,51,0,0,0,1,0,0,0,0,0,0,0,4.4,4.1,0.0,0.8,166,162,244,384,175,,,3,Midfielder,6,Tottenham,Bryan Salvatierra
511,100.0,100.0,221632,2,1.2,0.7,1,Cristian,0.7,494,,2021-09-01T19:00:12.770885Z,49,1.0,Romero,0.3,6,3,0.1,0.6,Romero,173,0,0,0,3,0,0,0,1,0,0,0,48.0,0.8,4.0,5.2,102,120,108,320,111,,,2,Defender,6,Tottenham,Cristian Romero
512,,,490145,4,0.5,0.0,0,Dane,0.0,520,,,45,0.0,Scarlett,3.3,6,0,0.0,0.0,Scarlett,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,70,66,550,71,,,4,Forward,6,Tottenham,Dane Scarlett
513,,,241157,2,1.8,1.3,2,Emerson Aparecido,1.3,588,,,50,1.2,Leite de Souza Junior,0.2,6,5,0.3,1.0,Emerson Royal,315,0,0,0,7,0,0,0,0,0,0,0,80.8,46.5,24.0,15.1,68,37,64,204,67,,,2,Defender,6,Tottenham,Emerson Junior
514,,,232456,3,0.5,0.0,0,Dilan,0.0,597,,,45,0.0,Markanday,0.0,6,0,0.0,0.0,Markanday,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,202,205,196,525,203,,,3,Midfielder,6,Tottenham,Dilan Markanday
515,,,209418,2,0.5,0.0,0,Tobi,0.0,598,,,40,0.0,Omole,0.1,6,0,0.0,0.0,Omole,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,149,151,131,430,151,,,2,Defender,6,Tottenham,Tobi Omole
516,,,45268,3,0.5,1.5,2,Moussa,2.0,354,,,45,1.8,Sissoko,3.0,57,9,0.4,2.0,Sissoko,430,0,0,0,6,0,0,0,1,0,0,0,53.2,75.9,29.0,15.8,96,63,111,193,92,,,3,Midfielder,57,Watford,Moussa Sissoko
517,100.0,100.0,9089,1,1.2,2.2,2,Ben,2.7,376,,2021-08-27T11:30:11.421385Z,40,2.7,Foster,21.5,57,8,0.7,2.0,Foster,270,0,0,0,3,0,0,0,0,0,11,0,77.6,0.0,0.0,7.8,21,5,1,288,21,,,1,Goalkeeper,57,Watford,Ben Foster
